model,mean_accuracy,std_accuracy,mean_kappa,std_kappa,subjects
CSP+LDA,0.6198915761532999,0.162842835272006,0.4946059327521858,0.21503380331266753,9
EEGNet,0.542292197282308,0.277466230024231,0.38766667448210906,0.37201741472205946,9
