subject,best_epoch,selection_epochs,validation_loss,validation_accuracy,selection_fit_trials,validation_trials
1,135,185,0.71637085808648,0.6222222222222222,228,45
2,6,56,1.3847279310226441,0.3,230,40
3,208,258,0.38036549344975895,0.9148936170212766,223,47
4,146,196,0.9520504086516625,0.5581395348837209,219,43
5,11,61,1.384544496950896,0.2608695652173913,216,46
6,1,51,1.3876697934907058,0.27586206896551724,190,29
7,7,57,1.385945479075114,0.20833333333333334,223,48
8,125,175,0.6569058524237739,0.7111111111111111,219,45
9,108,158,0.6073658125741142,0.7142857142857143,195,42
