epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.3939655548788508,1.3866787751515706,0.242152466367713,0.22916666666666666
2,1.3681253857676758,1.38672931989034,0.2825112107623318,0.1875
3,1.3641741596529837,1.3867785533269246,0.3183856502242152,0.22916666666666666
4,1.3542778871519148,1.3867568174997966,0.32286995515695066,0.22916666666666666
5,1.3224015925497217,1.3866033951441448,0.37668161434977576,0.20833333333333334
6,1.3147213886671536,1.3863468170166016,0.3811659192825112,0.20833333333333334
7,1.2987973802292827,1.385945479075114,0.36771300448430494,0.20833333333333334
8,1.255947520380063,1.3859487771987915,0.42152466367713004,0.22916666666666666
9,1.2291919377887195,1.3866861661275227,0.43946188340807174,0.25
10,1.1988002794205874,1.389652172724406,0.5067264573991032,0.25
11,1.1706173911757534,1.3948280413945515,0.515695067264574,0.25
12,1.1688454600193041,1.4015662272771199,0.47085201793721976,0.25
13,1.1284704978155984,1.4105335871378581,0.5426008968609866,0.25
14,1.1384343341861605,1.4364395936330159,0.4977578475336323,0.25
15,1.099527002984633,1.4578973452250164,0.5874439461883408,0.25
16,1.0791012251858219,1.4844297568003337,0.547085201793722,0.25
17,1.0866474602789087,1.502498745918274,0.515695067264574,0.25
18,1.0614443702013503,1.5329209963480632,0.5381165919282511,0.25
19,1.049543331824076,1.5633668899536133,0.5381165919282511,0.25
20,0.9959538121929083,1.5947113037109375,0.5829596412556054,0.25
21,0.9990598877449207,1.6292204856872559,0.5695067264573991,0.25
22,1.028035002171726,1.661839246749878,0.5829596412556054,0.25
23,0.9621176471090103,1.6980454921722412,0.600896860986547,0.25
24,0.9697017231329674,1.7192083994547527,0.5874439461883408,0.25
25,0.9834787746715973,1.765089511871338,0.57847533632287,0.25
26,0.9658997997040172,1.8287150859832764,0.57847533632287,0.25
27,0.9387009836098539,1.8593059380849202,0.6143497757847534,0.25
28,0.9593646443478195,1.8678491115570068,0.600896860986547,0.25
29,0.9444618206387678,1.836689829826355,0.6098654708520179,0.25
30,0.9335469103714811,1.8053420384724934,0.6502242152466368,0.25
31,0.8962168894006532,1.7898258368174236,0.6322869955156951,0.25
32,0.8843736886443578,1.789594332377116,0.6412556053811659,0.25
33,0.8446302769430015,1.8151884078979492,0.6816143497757847,0.25
34,0.845195306256213,1.8154892126719158,0.6547085201793722,0.25
35,0.8708038549252155,1.8455060323079426,0.6367713004484304,0.25
36,0.8477711378191619,1.929871916770935,0.6681614349775785,0.25
37,0.8451874055669981,1.9277995427449544,0.6367713004484304,0.25
38,0.8367207633005664,1.8773333231608074,0.6816143497757847,0.25
39,0.8286563096559636,1.834500511487325,0.6591928251121076,0.25
40,0.8498724939577248,1.8074811697006226,0.6816143497757847,0.25
41,0.8538808082251271,1.7866544723510742,0.6322869955156951,0.25
42,0.8400356860438805,1.8209380706151326,0.6278026905829597,0.25
43,0.8139661526466164,1.7862635453542073,0.672645739910314,0.2708333333333333
44,0.809200912045791,1.7537333965301514,0.6771300448430493,0.2708333333333333
45,0.8034408330382787,1.7978005409240723,0.6502242152466368,0.2708333333333333
46,0.7788770559657315,1.7443442344665527,0.6636771300448431,0.2708333333333333
47,0.8050404148251487,1.59762438138326,0.672645739910314,0.2916666666666667
48,0.7929142783040958,1.6061688264211018,0.695067264573991,0.3125
49,0.7695234145284233,1.6020330985387166,0.6995515695067265,0.3125
50,0.7550082952452347,1.578768531481425,0.726457399103139,0.3125
51,0.7041759402762614,1.492257833480835,0.7130044843049327,0.3333333333333333
52,0.721968309494412,1.5327425400416057,0.6771300448430493,0.3541666666666667
53,0.7510647747014135,1.5053198337554932,0.7085201793721974,0.3541666666666667
54,0.7341140233347768,1.537017583847046,0.7130044843049327,0.3333333333333333
55,0.7094207470192503,1.4537646770477295,0.7219730941704036,0.3125
56,0.6833746831513307,1.398943026860555,0.7309417040358744,0.3125
57,0.7143683644688182,1.4000259637832642,0.6905829596412556,0.3125
